index,sentence1,sentence2,label
2089,"There is 'no indication of any security related event' that brought the plane down, said FBI spokesman Richard Kolko. Conditions of freezing drizzle, known as hard rime, were the most likely cause of the tragedy. The National Transportation Safety Board (NTSB) has announced that they would send a team to the crash site on Friday to begin the investigation. Lorenda Ward will serve as chief investigator with the assistance of NTSB Commissioner Steven Chealander and public affairs officer Keith Holloway. Ward has investigated several other plane crashes ―including the 2006 New York City plane crash that claimed the life of New York Yankees pitcher Corey Lidle.",Corey Lidle was a resident of New York City.,not_entailment
1111,"Switzerland has ratified bilateral agreements with the members of the European Union in March 2004, but the new members (Cyprus , Czech Republic , Estonia, Hungary, Latvia, Lithuania, Malta, Poland, Slovakia and Slovenia) were not included in the deal.","Lithuania intends to introduce the use of the Euro as an official currency on January 1, 2007.",not_entailment
1795,"Europe's economic environment has altered considerably over the last thirty years, and the economies of European countries have progressively opened up to the global economy. As a result, the competitiveness of the European economies is dependent not just on production costs, but also on the performance of pension and social security systems guaranteeing security for the future.",National pension systems currently adopted in Europe are in difficulties.,not_entailment
613,"Actor Christopher Reeve, best known for his role as Superman, is paralyzed and cannot breathe without the help of a respirator after breaking his neck in a riding accident in Culpeper, Va., on Saturday.",Christopher Reeve had an accident.,entailment
835,"While the House has been extremely active in passing bills addressing the key priorities of entrepreneurs, most of the legislation has hit a brick wall over in the Senate.",The House quickly passes bills addressing the priorities of entrepreneurs.,entailment
378,"A second man, aged 24, technically freed yesterday was bailed after being questioned over alleged forged identity documents, but has been further detained on immigration matters, a spokesman for Scotland Yard said.",A spokesman for Scotland Yard was freed yesterday.,not_entailment
608,"Los Angeles Mayor James Hahn, along with top members of the Automobile Club of Southern California, along with will announce the kickoff of a $9 billion plan to fund Los Angeles County's Top Ten Traffic Busters.",James Hahn is a member of the Automobile Club of Southern California.,not_entailment
1447,iTunes software has seen strong sales in Europe.,Strong sales for iTunes in Europe.,entailment
616,Women are poorly trained for politics.,Women are poorly represented in parliament.,not_entailment
70,"In October, however, amid rising tensions between the government and opposition groups, a car bomb seriously injured an opposition politician and killed his driver, in Beirut.",A member of the opposition was injured in a car bomb attack in Beirut.,entailment
986,"Brazil, Australia and Thailand argued that the EU, one of the world's largest exporters, broke WTO farm rules by exceeding limits on export subsidies laid down under WTO's 1994 Agreement on Agriculture.","The three countries argued that UE, one of the greater exporter of the world, infringed the rules of the OMC when exceeding the limit of the subsidies to the exports indicated under the Agreement on Agriculture of the OMC in 1994.",not_entailment
309,"The current President of Brazilian Central Bank, Henrique Meirelles, is accused of financial fraud among other accusations.",The current President of Honduras is Manuel Zelaya.,not_entailment
2293,"""Clint Brown, sports presenter for 3 News on TV3 in New Zealand has resigned amid the allegations that he had verbally attacked a taxi driver which resulted in him being admitted to hospital with a concussion and a broken eye socket. TV3 has confirmed that they have accepted the resignation of Brown. Rick Friesen, Chief Operating Officer of the TV Works division of CanWest MediaWorks NZ, that runs TV3, said: """"We wish to acknowledge Clint's significant skills as a sports broadcaster, and thank him for his 17 years of very loyal service to TV3. Clint Brown is a passionate New Zealand sports fan, and he has been at the forefront of some of New Zealand's biggest sporting moments.""""""",Rick Friesen is employed at CanWest MediaWorks NZ.,entailment
102,"Nagin defended his plan to return up to 180,000 people to the city, within a week and a half, despite concerns about the short supply of drinking water and heavily polluted floodwaters.","Thousands of people are expected to return to New Orleans this week, as areas of the city are opened up to residents.",not_entailment
922,"Assailants also ambushed two civilian sport utility vehicles, favoured by Western civilian contractors, on the road to Baghdad's international airport",Assailants also ambushed two civilian sport utility vehicles on the road to Baghdad's international airport.,entailment
1719,"The National Assn. of Realtors reported that sales of existing homes had shot up to an annual rate of 7.29 million in August, 7.8% higher than a year earlier.",Sales of existing homes raised 7.8%.,entailment
880,"""The man known as just the """"Piano Man"""" has left the hospital and has returned home to his native Germany. According to British tabloids, the man, after losing his job in Paris, travelled to the UK through the Channel Tunnel.""","""The """"Piano Man"""" worked for a British tabloid.""",not_entailment
301,"The U.S. Senate has scheduled debate and a vote in June on a bill that would allegedly initiate a process for Native Hawaiians to achieve the same level of self-governance and autonomy over their own affairs that many Native American tribes currently have. Critics of the bill characterize it as going much further than any existing tribal recognition, creating a governing entity based solely on race, without the same requirements as needed for Native American tribal recognition, such as having existed predominantly as a distinct community, having exercised political influence over its members as an autonomous entity, and have continuously been identified as a tribal entity since 1900.",The Shoshones fight for their rights against the U.S. government.,not_entailment
228,"The evidence for the continuing accretion of gas by the Milky Way involves high-velocity clouds, or HVCs--mysterious clumps of hydrogen, moving rapidly through the outer regions of the galaxy.",High-velocity clouds are made up of hydrogen.,entailment
206,"""In reaction to the ongoing uncertainty, the E.U. enlargement commissioner warned the Turkish Army about interfering: """"It is important that the military leaves the remit of democracy to the democratically-elected government and this is the test case if the Turkish armed forces respect democratic secularism and the democratic arrangement of civil-military relations,"""" commissioner Olli Rehn said. Erdogan and Gül support Turkey's efforts to join the European Union.""",Turks want Gül to be President.,not_entailment
405,"Qwest's revised bid, which did not offer more cash for MCI stock as expected, was deemed disappointing by one major MCI shareholder, and Qwest's shares fell more than 8 percent.",MCI shareholders accepted a $6.7 billion offer over Qwest's initial $8 billion.,not_entailment
1773,"Heaney had joined 'a distinguished group of Irishmen , who have been honoured with this prize for their contribution to Irish literature in the twentieth century.'",Heaney was awarded the Nobel Prize for literature in 1995.,not_entailment
721,The Daily Mail has confirmed it has pulled out of the bidding for rival newspaper the Daily Telegraph.,Daily telegraph is sold.,not_entailment
334,"Babe Ruth's career total would have been 1 higher had that rule not been in effect in the early part of his career. The all-time career record for home runs in Major League Baseball is 755, held by Hank Aaron since 1974.",Babe Ruth hit 755 home runs in his lifetime.,not_entailment
879,"""The Socialist Party was formerly part of the Labour Party, which has ruled the United Kingdom since 1997 and remains a member of the Socialist International. On the bus, Saunders and some of his cohorts — they occasionally, especially the older members, address each other as """"comrade"""" — explains their view on how the split with Labour came about. As the Third Way became the dominant voice in the Labour Party, culminating with the replacement of Neil Kinnock with Tony Blair as party leader, the Socialist cadre became increasingly disaffected. """"There used to be democratic structures, political meetings"""" within the party, they say. The branch meetings still exist but """"now, they passed a resolution calling for renationalisation of the railways, and they [the party leadership] just ignored it."""" They claim that the disaffection with New Labour has caused the party to lose """"half its membership"""" and that people are seeking alternatives.""",The Socialist Party was founded in the United Kingdom.,not_entailment
1748,"WASHINGTON — The Senate confirmed the nomination of Kathleen Sebelius as secretary of health and human services on Tuesday, allowing President Obama to fill the last vacancy in his cabinet with a seasoned politician who will take charge of the fight against swine flu. The vote was 65 to 31. Among the nine Republicans who voted for Ms. Sebelius was Senator Arlen Specter of Pennsylvania, who announced on Tuesday that he was becoming a Democrat. Besides directing federal efforts against swine flu, Ms. Sebelius will lead the administration's campaign for universal health insurance.",Kathleen Sebelius comes from Pennsylvania.,not_entailment
1541,Pakistani officials announced that two South African men in their custody had confessed to planning attacks at popular tourist spots in their home country.,Two South Africans were arrested in Pakistan in the past week after a shoot-out at a house between al-Qaeda operatives and security forces.,not_entailment
1285,"Those teens who are gay, lesbian or confused about their sexuality are also more likely to attempt suicide.",Teens who are depressed are much more at risk of attempting suicide than other teens.,not_entailment
1032,"Microsoft Corp. and Intel Corp., on Monday, threw their weight behind the next-generation, HD DVD format being promoted by Toshiba Corp., in a blow to Sony Corp.'s Blu-ray format.",Toshiba Corp. is a partner of Sony Corp.,not_entailment
844,"Tom Online revenues for the three months ended June 30, 2005 were US$42.78 mn, an increase of 38.5% over the same period in 2004.",Tom Online earned US$42.78 mn in three months.,entailment
519,"""Vice-President  Álvaro Marcelo García Linera, a principal author of the draft constitution, hailed Sunday's referendum results, saying, """"this will be an egalitarian Bolivia, a Bolivia that leaves behind a dark, colonial, racist past."""" Linera, however, has acknowledged that the government has provoked deep divisions and faces vehement oppositions from many of the traditional elite, coming from many mixed-race people in the fertile eastern lowlands which rejected the draft charter.  """"I am not saying there will be no more conflict, there will be tensions for a while, I say a decade ... but we will have built a state on three principles: the economy under state control, equality, and the territorial decentralization of power,"""" he said. The new constitution was rejected in four opposition-controlled regions: the tropical lowlands of Pando, Santa Cruz, Tarija and Beni, which contain most of Bolivia's natural gas production and are responsible for most of its agricultural output.""",Álvaro Marcelo García Linera belongs to the republican party.,not_entailment
358,"For the first time in history, the players are investing their own money to ensure the future of the game, Atlanta Brave pitcher Tom Glavine said.",Tom Glavine plays for the Atlanta Braves.,entailment
1313,"Muslim fundamentalists such as the Islamic Resistance Movement, also known as Hamas, and the smaller Islamic Jihad are determined to torpedo the peace process.",The Islamic Resistance Movement is also known as Hamas.,entailment
857,Fishermen using the poison sodium cyanide have helped to destroy an estimated 70% of the reefs.,Cyanide fishing is linked to the destruction of area reefs.,entailment
288,The weapon Inspectors have had since 1991 to peacefully disarm Iraq of its weapons of mass destruction.,Weapons inspectors will go back to Iraq.,not_entailment
1603,"NRDC states its mission as follows: The Natural Resources Defense Council's purpose is to safeguard the Earth: its people, its plants, animals, and the natural systems on which all life depends.",The Natural Resources Defense Council safeguards the Earth.,entailment
583,"GUS on Friday disposed of its remaining home shopping business and last non-UK retail operation with the 390m (265m) sale of the Dutch home shopping company, Wehkamp, to Industri Kapital, a private equity firm.",Wehkamp was based in the UK.,not_entailment
2286,"Police sources stated that during the bomb attack involving the Shining Path, two people were injured.",Two people were wounded by a bomb.,entailment
2088,"Three leading Japanese banks have announced an alliance forming the world's largest financial group. Fuji Bank, Dai-Ichi Kangyo and the Industrial Bank of Japan say their operations will be integrated by the spring of 2002.",Merger of Japanese Banks creates the world's biggest bank.,entailment
756,"Anglo/Dutch Royal Dutch Shell, Total, of France, and Spain's Repsol were all named as examples of established oil companies involved in the oil-for-food programme before surcharges began in 2001.",Total participated in the oil-for-food programme.,entailment
1605,"North Korea states intention to restart reactors, throws out IAEA inspectors and takes down inspection cameras, announces immediate withdrawal from the Nuclear Non-Proliferation Treaty and makes threats of war if the UN or the United States imposes sanctions.",North Korea has announced its withdrawal from liaison meetings with United States military officers.,not_entailment
762,Vodafone's share of net new subscribers in Japan has dwindled in recent months.,There have been many new subscribers to Vodafone in Japan in the past few months.,not_entailment
523,"An attempted carjacking Thursday evening in Johannesburg has left famous South African reggae star Lucky Dube dead. He was dropping his children off in the suburb of Rosettenville when he was attacked. Police said that three gunshots were fired through the car window, injuring Dube. His children were out of the car at the time. An injured Dube then attempted to drive his car away from the area, but hit a tree soon after. He died at the scene. The police suspect that three people were responsible for the attack.",Lucky Dube was a reggae star.,entailment
2295,"People who are deaf or have hearing impairments, those who are blind or have vision impairments, and those with mobility impairments may face unique challenges in an emergency. Their ability to detect a fire or escape its effects may be hindered by their impairments. As a result, people with these impairments are at a greater risk of death or injury due to fire.",Deaf people encounter problems in the social community.,not_entailment
2376,"The chaotic situation unleashed in Bogota last night, with the assasination of Justice Carlos Valencia, began on 28 July in Medellin, when motorized paid assasins murdered third public order Judge Maria Elena Diaz.",Justice Carlos Valencia was killed on 28 July.,not_entailment
2029,"Russia doesn't excel in auto manufacturing, but it is tops in other areas. The country's great wealth in oil, natural gas, and metals, in addition to generating revenue for the government, is creating a new middle class that craves European, Japanese and American cars.",European cars sell in Russia.,entailment
1764,"His group's recently developed computer program, which provides group intelligence for a swarm of mini-robots to rapidly pin-point a source of contagion, can also be used by a group of humans carrying minicomputers, global positioning receivers, and simple radio equipment to find a skier buried in whiteness.",Robots are used to find avalanche victims.,not_entailment
1461,"Critics said the National Certificate of Educational Achievement or NCEA, the main qualification for high school students, would be degraded by the authority allowing text speak use in exams.",NCEA is the main qualification for high school students.,entailment
1758,"""On August 21, the Polish weekly Przekrój published an advertisement for Dan-Mark exercise books, bearing the logo of 4fun.tv, a Polish music/interactive  TV station. Part of the advertisement contained a definition of the word """"exercise book"""". The wording looked familiar, and Wikinews consulted Wikipedia,  the collaborative online encyclopedia. Upon seeing the Wikipedia definition, it appeared that the entry quoted in the promotional material was identical to the initial two paragraphs of the relevant Wikipedia entry.""",Readers of online encyclopedias can edit the contents.,not_entailment
1963,"They, too, have not produced a practical, commercially acceptable maglev.",Maglev is commercially used.,not_entailment
1360,"""Founded by a joint venture between private group TF1 and the public France Télévisions the new channel is managed by Alain de Pouzilhac, former Havas head. Employing 170 journalists and a total of 380 people, France 24 is funded by 86 million euro of public money.The motto of the new freely-available international channel is """"un regard français"""", aiming to promote a French world-view the channel was a project with the blessing of the country's president, Jacques Chirac.""",France24 is a French TV Channel.,entailment
1893,"While civilians ran for cover or fled to the countryside, Russian forces were seen edging their artillery guns closer to Grozny, and Chechen fighters were offering little resistance.",Grozny is the capital of Chechnya.,not_entailment
1169,"If you 're feeling playful, visit our games area for a game of billiards, surf the Internet or just sit back and relax with a good book from our extensive library. Alternatively, soothe away those tired muscles, aches and pains with a Balinese massage.",Traditional Balinese massage is a therapy where pushing techniques predominate.,not_entailment
1173,The Philippine Stock Exchange Composite Index rose 0.1 percent to 1573.65.,The Philippine Stock Exchange Composite Index rose.,entailment
1578,"In Britain, they channel their energies into gardening and riding. In Holland, they travel by bicycle to prove that they are of the people. But, conforming to a national stereotype, the Italian royal family, exiled from their homeland for 60 years, prefer fast cars and beautiful women.",Italian royal family returns home.,not_entailment
518,"""Meanwhile, in an exclusive interview with a TIME journalist, the first one-on-one session given to a Western print publication since his election as president of Iran earlier this year, Ahmadinejad attacked the """"threat"""" to bring the issue of Iran's nuclear activity to the UN Security Council by the US, France, Britain and Germany.""",Ahmadinejab threatens Iran nuclear activity.,not_entailment
1611,"Fernandez, of FEMA, was on scene when Martin arrived at a FEMA base camp before going to the hospital.",Fernandez works for FEMA.,entailment
1974,"Ronaldo Luiz Nazario da Silva is quite simply one of the greatest strikers in the history of world football, capable of leaving an entire team for dead with his darting runs and dribbling ability, voted FIFA World Player of the Year on three occasions and already a double FIFA World Cup winner.",FIFA selects world football player of the year 1994.,not_entailment
96,Successful plaintiffs recovered punitive damages in Texas discrimination cases 53% of the time.,Legal costs to recover punitive damages are a deductible business expense.,not_entailment
1051,"In 1962, Armstrong was transferred to astronaut status. He served as command pilot for the Gemini 8 mission, launched March 16, 1966, and along with David Scott, performed the first successful docking of two vehicles in space by mating his Gemini 8 with an uninhabited Agena rocket.",Neil Armstrong was the first man who landed on the Moon.,not_entailment
1971,"""There have been reports that the leader of the Al-Qaeda terrorist network, Abu Musab al-Zarqawi, was wounded in Iraq. Internet statements on Al-Qaeda websites Tuesday and Thursday asked Muslims to pray for al-Zarqawi and said that an interim leader named Abu Hafs al-Gerni had been appointed. The credibility of these statements is currently unverified. Iraq's Interior Minister Bayan Jabr did allege that the statements were correct, however. During a news conference, he reported, """"We are not sure whether he is dead or not, but we are sure that he is injured.""""""",Abu Musab al-Zarqawi is affiliated with Al-Qaeda.,entailment
120,"The Kinston Indians are a minor league baseball team in Kinston, North Carolina. The team, a Class A affiliate of the Cleveland Indians, plays in the Carolina League.",Kinston Indians participate in the Carolina League.,entailment
431,"Police in Rio de Janeiro arrested five men and recovered millions of dollars worth of art stolen earlier this month, including works by Salvador Dali and Henri Matisse. Police recovered all the stolen art except two Chinese ceramic sculptures from the 7th Century and a collection of silverware.","Millions of dollars of art were recovered, including works by Dali.",entailment
345,"The Jurassic Park Institute is an absolutely accurate way for kids to get excited about dinosaur science! Written by two noted paleontologists and illustrated in big bold colors, this kid-friendly nonfiction guide uses easy-to-understand text to describe at least 100 dinosaurs alphabetically.",Michael Crichton is the author of the book Jurassic Park.,not_entailment
564,"""Officials claimed they were backed by influential members of the Santa Cruz business community of Croatian descent. The security vice-minister, Marcos Farfan, said that police have surveillance photographs of Mr Dwyer at various public events attended by Mr Morales, including a peasant rally near Santa Cruz and a visit to naval installations on Lake Titicaca. Mr Farfan said that Mr Dwyer was """"following"""" Mr Morales and other officials as part of the preparations for the """"assassination plot"""". He added that police experts are analysing contents reportedly found in computers taken from the rooms in which the men were killed.""",Lake Titicaca has a naval installation.,entailment
1227,"British singer-songwriter Natasha Bedingfield, who sang with her brother Daniel and sister Nikola as The DNA Algorithm, tied the knot with a California businessman in Malibu. According to reports the marriage, which took place Saturday in a 30-minute outdoor ceremony overlooking the Pacific Ocean, was attended by about 150 guests.  The guests watched Bedingfield walk down the aisle in a Vera Wang dress beside the chateau at the Church Estates Vineyards.  Bedingfield, who was born in New Zealand and grown up in England, found her partner, in America.",Natasha Bedingfield is married to Matthew Robinson.,not_entailment
1961,"From Joss Stone to Keith Richards to Sting, the artists joining Les on the rock-charged album share one clear common bond: Les Paul is one of their most respected and beloved mentors.",Eric Clapton is in business with Les Paul.,not_entailment
1573,"Apart from the new substances entering the market, the phase out of existing ones, which have been definitely identified as damaging the ozone layer, is far from complete.",New substances are damaging the ozone layer.,not_entailment
1387,"A small airplane crashed yesterday in southeast Alaska, killing five and injuring four. Alaska State Troopers spokeswoman Megan Peters said that among the survivors is a two-year-old girl. Ketchikan Public Safety Director Rich Leipfert told the Ketchikan Daily News that three of the injured were transported to hospitals. Leipfert also said that the plane, belonging to SeaWind Aviation, crashed into a tree at Traitors Cove, an area about 25 miles north of Ketchikan.",25 people died in an airplane crash.,not_entailment
1816,"""WASHINGTON - A Pentagon report on Guantanamo prison ordered by President Barack Obama concludes conditions for inmates are in line with Geneva Conventions and other legal obligations, a US official said Friday. The report was due to be delivered to the White House by Saturday as part of a landmark executive order issued by Obama last month mandating the closure of the """"war on terror"""" detention camp. The official, who spoke to reporters on condition of anonymity, said the review conducted by Admiral Patrick Walsh found that detainees were treated humanely, in accordance with the Geneva Conventions and other laws recognized by the United States.""",The Guantanamo prison is in Cuba.,not_entailment
1757,"Moreau, 72, received a Golden Bear award for lifetime achievement at the Berlin Film Festival Friday.",The Golden Palm has been awarded at the Cannes film Festival.,not_entailment
2308,The death penalty is not a deterrent.,Capital punishment is a deterrent to crime.,not_entailment
121,"Molly Walsh, 21, a George Washington University student shopping at a CVS pharmacy in Washington, D.C., said she didn't plan to toss any of the store-brand drugs at home that she'd bought to save money. Nor did she plan to stop buying the generic products.",Molly Walsh plans to stop buying the generic products.,not_entailment
1877,Zinedine Zidane has beaten Thierry Henry and Ronaldo to the Fifa 2003 World Player of the Year award.,FIFA selects world football player of the year 1994.,not_entailment
49,Argentina sought help from Britain on its privatization program and encouraged British investment.,Argentina sought UK expertise on privatization and agriculture.,not_entailment
1993,Guerrillas killed a peasant in the city of Flores.,Guerrillas killed a civilian,entailment
867,"That request is at odds with the law signed early yesterday, by Bush, directing the federal courts to consider the case de novo without taking into account the state court's findings.",President Bush authorized the federal courts to review the case.,entailment
976,"Late Tuesday, authorities in the U.S. state of Texas carried out the execution of José Medellín, a Mexican national convicted of raping and murdering two teenage girls in 1993. The execution was carried out despite being at the center of an international legal dispute with objections from the International Court of Justice (ICJ) and UN Secretary-General Ban Ki-moon. José Ernesto Medellín, 33, was born in Mexico but moved to the U.S. as a child. He was sentenced to death for the 1993 rape and murder of two girls aged 14 and 16 in Houston, Texas. On Tuesday at 9:57 p.m. CDT, he was given a lethal injection at the Huntsville Unit in Huntsville, according to the Texas Department of Criminal Justice.",José Medellín was executed in Huntsville prison.,entailment
713,Coal company stocks got a lift Monday morning after an article in Barron's said the industry was benefiting from soaring natural gas prices and the advent of new power plants that emit less pollution.,Coal stocks rise.,entailment
2260,"The Beetle has achieved an unbelievable cult status across the world, not least because its creation marked the launch of what has since become the largest car company in Europe.",Europe produces the 'Beetle'.,not_entailment
1491,"""An audience of 8.3 million people watched rural soap, """"Emmerdale"""", on Thursday, while a live episode of """"The Bill"""" got 7.9 million viewers.""","""Hour-long special episodes of ITV soaps, """"Emmerdale"""" and """"The Bill"""", were the top-rated UK TV shows on the commercial channel's 50th anniversary.""",not_entailment
847,"UNSCOM employs about 120 persons in Iraq, including 40 inspectors.","Wilson uses some 120 persons in Iraq, 40 of whom are inspectors.",not_entailment
1256,US Catholic bishops are all but unanimous in believing that Cardinal Law must leave Boston for the good of the church.,Cardinal Law returns from Rome with plans to stay in Boston.,not_entailment
2379,"""A new strain of Avian Flu or Bird Flu has been discovered in China and has also infected some humans. The virus also """"spreads fast"""" and has covered a """"big geographic region"""" according to Chinese health officials. It is not known how dangerous the new virus is and whether it is stronger or deadlier than the current H5N1 virus. Despite being detected in humans, no evidence has turned up to suggest that the virus can be spread easily from human to human.""",483Lu suffers from the H5N1 virus.,not_entailment
1636,"""The report faults intelligence agencies for a """"lack of imagination"""" in not anticipating that al Qaeda could attack the United States using hijacked aircraft.""",The report blames intelligence agencies.,entailment
1913,"Thanks to a global ban on the ivory trade that was passed in 1989 by the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES), the African elephant population may be reversing its spiral toward extinction",The ban on ivory trade has been effective in protecting the elephant from extinction.,entailment
1362,"""Termed """"Operation Baylout"""", the group claims that hundreds of volunteers are taking part in coordinated efforts to jam the websites of the International Federation of the Phonographic Industry and MAQS, a law firm working with the prosecution in the Pirate Bay case. As of Friday evening MAQS's website read """"Our website is currently under attack and we have therefore decided to shut it down until the attack ceases.""""  The group is also coordinating efforts to jam the fax lines of the MPAA's anti-piracy office and of prosecuting attorney Monique Wadsted.  Andrew Norton of Pirate Party International rejected the attacks, saying, """"While we can't condone these acts, it does show there is a wealth of feeling that opposes the decisions and actions of this trade body.""",MAQS law firm employed hundreds of volunteers.,not_entailment
269,"According to NC Articles of Organization, the members of LLC company are H. Nelson Beavers, III, H. Chester Beavers and Jennie Beavers Stewart.",Jennie Beavers Stewart is a share-holder of Carolina Analytical Laboratory.,not_entailment
224,"James Kerr had been the foreman for the Deane, Adams and Deane gun factory. Robert Adams, one of the partners and inventor of the Adams revolver, was Kerr's cousin.",Dean invented a revolver.,not_entailment
2412,Recreational marijuana smokers are no more likely to develop oral cancer than nonusers.,Smoking marijuana does not increase the risk of developing oral cancer.,entailment
369,"Political change in eastern Europe and the removal of trade barriers in the Far East have given the four multinationals-Philip Morris, BAT Industries, R J Reynolds and Rothmans International-access to big potential new markets.",Trade liberalisation happened in China.,not_entailment
545,"The FMLN has prudently taken time before adopting a definite position, meanwhile the government has increased its detentions and attacked the residences of leaders of the Social Christian People's Movement.",Social Christian People's Movement was attacked by FMLN.,not_entailment
19,U.S. crude settled $1.32 lower at $42.83 a barrel.,"Crude the light American lowered to the closing 1.32 dollars, to 42.83 dollars the barrel.",not_entailment
1906,The terrorist is suspected of being behind several deadly kidnappings and dozens of suicide attacks in Iraq.,The terrorist may have caused suicide attacks and kidnappings.,entailment
589,"Blue Mountain Lumber is a subsidiary of Malaysian forestry transnational corporation, Ernslaw One.",Blue Mountain Lumber owns Ernslaw One.,not_entailment
1772,"""Mr Lopez Obrador was """"sworn in"""" by Senator Rosario Ibarra, a human rights activist and member of his party, who placed a red, green and white presidential sash across his shoulders.""",Senator Rosario Ibarra is a human rights militant.,entailment
1306,"Their work has stimulated research into microbes as possible reasons for other chronic inflammatory conditions, such as Crohn's disease, ulcerative colitis, rheumatoid arthritis and atherosclerosis, the Nobel assembly said.",Rheumatoid arthritis is caused by microbes.,not_entailment
2063,The relocation has enabled the company to eliminate the use of cyanide and chrome in its plating work replacing it with a soaplike solution.,Soap-like alternatives exist.,entailment
81,"The plaintiffs in this most recent suit contend that Lee, Perlmutter, Arthur Lieberman and Avi Arad conspired in bad faith to conceal and misappropriate financial interests in Lee's creations assigned to Stan Lee Media in 1998. SLM's meltdown involved its former President Peter F. Paul fleeing to Brazil, contributions made to Bill and Hillary Clinton, Paul's extradition and more. In 2007, SLM filed a $5 billion lawsuit in which it claimed co-ownership of all of Stan Lee's creations for Marvel.",Hillary Clinton is Bill's sister.,not_entailment
2318,"Helena Brighton, an attorney for Eliza May who served as executive director of the Texas Funeral Services Commission -the state agency that regulates the funeral business- claimed that she was fired from her state job because she raised questions about SCI.",Helena Brighton is a clerk of the Texas Funeral Services Commission.,not_entailment
695,"Yes, water is a critical area of dispute in the Arab-Israeli conflict; but given the current climate of peacemaking, and given the general war-weariness among states and populations, such predictions are excitable pieces of subjectivism.",There is a territorial waters dispute.,not_entailment
657,"A four-day state of emergency has been declared in the capital of Mongolia, Ulaanbaatar after violent protests occurred after allegations of vote rigging and fraud in Sunday's elections. Reports state that 5 people have been killed, and over 300 injured. The injured were police and protesters alike, suffering from smoke poisoning, rubber bullets, and stoning. Among the injured was a Japanese citizen, who was reportedly flown to Japan in the morning.",300 people were killed in Mongolia.,not_entailment
892,Green cards are becoming more difficult to obtain.,Green card is now difficult to receive.,entailment
1583,"Over 100 more lives were lost at sea, and 1800 were lost in Holland.",100 or more people lost their lives in a ferry sinking.,not_entailment
659,"Reagan was seriously wounded by a bullet fired by John Hinckley Jr. in an attempted assassination, but made a remarkably speedy recovery.",Reagan survived an attempted assassin's bullets.,entailment
2251,"In Greek mythology Mount Olympus was the home of the gods and the site of the throne of Zeus, the chief deity.",Mount Olympus is in Greece.,not_entailment
2325,"The main institutionalised forms of recognition for those who have made a significant contribution in the fields of physics, chemistry, medicine, literature, as well as for those working for peace (and more recently in the area of economics), are the Nobel prizes.",Nobel Peace Prize candidates have been chosen.,not_entailment
579,Protest votes as citizens of the 25 EU nations punished their governments.,The European Union is made up of 25 nations.,entailment
1075,"""Nancy Grace and the others, they just bashed her to the end, said Duckett's grandfather, Bill Eubanks, during an interview with The Orlando Sentinel. """"She wasn't one anyone ever would have thought of to do something like this. She and that baby just loved each other, couldn't get away from each other. She wouldn't hurt a bug."""" Grace's spokeswoman called the suicide """"a sad development,"""" and Grace herself issued a statement saying, """"I do not feel that our show is to blame for what happened to Melinda Duckett.""""""",Bill Eubanks was Melinda Duckett's grandad.,entailment
1685,"American Airlines began laying off hundreds of flight attendants on Tuesday, after a federal judge turned aside a union's bid to block the job losses.",American Airlines will recall hundreds of flight attendants.,entailment
1931,"Saddam Hussein accepted an 11th-hour offer to flee into exile weeks ahead of the U.S.-led 2003 invasion, but Arab League officials scuttled the proposal, officials in this Gulf state claimed.",Saddam Hussein flees to the U.S.,not_entailment
1859,"Sunday's explosion outside the Al-Rashi police station in the Al-Mashtel neighbourhood in the southeast of Baghdad, left a huge crater in the street.",Al Rashi is an executive of the police.,not_entailment
1925,"Galvarino Apablaza is the leader of the Marxist group FPMR - Manuel Rodriguez Patriotic Front. FPMR was founded in 1983 and became the armed wing of the Chilean Communist Party to carry out terrorist attacks against the Chilean militarist government of the dictator Augusto Pinochet. Its name is a tribute for Manuel Rodriguez Erdoiza, considered a Chilean hero in the war of the independence of Chile against Spain.",Comandante Salvador is the nickname of Galvarino Apablaza.,not_entailment
936,"A Continental Connection flight from Newark to Buffalo crashed into a house about four to six miles from Buffalo Niagara International Airport on Thursday night, killing 50 people, officials said. Continental Airlines Flight 3407 is a daily commuter flight from Newark Liberty International Airport in Newark, New Jersey to Buffalo, New York, operated under the Continental Connection brand by Virginia-based regional airline Colgan Air.",Buffalo is not far from Newark.,not_entailment
1015,"In 1932 he joined the then illegal Communist party and held high government and party posts from 1942, becoming home secretary in 1948, when the Communist party took control in Hungary.",Communist control in Hungary ended in 1948.,not_entailment
1183,"The substances that our company uses do not leave stains, do not have an unpleasant smell and are not toxic.",Our substances remove stains.,not_entailment
556,PM tried to buy the Belin biscuit company from RJR Nabisco two years ago.,American tobacco companies began to diversify production.,not_entailment
2154,"A man has died after riding the Expedition Everest roller coaster at Walt Disney World's Animal Kingdom in Orlando, Florida. The man, identified as Jeffery Reed, 44 from Navarre, was given CPR after being pulled off the ride unconscious, and was taken in an ambulance to Celebration Hospital, where he was pronounced dead. Reed had no external signs of injuries, and police are investigating to determine whether or not Reed may have had any pre-existing medical conditions. An autopsy is to be performed on the body, but details have not yet been released.",Walt Disney World is in Florida.,entailment
434,"A force majeure is an act of God, said attorney Phil Wittmann, who represents the New Orleans Saints and owner Tom Benson's local interests.",Phil Wittmann works for Tom Benson.,entailment
1946,Voting for a new European Parliament has been clouded by apathy.,Apathy clouds EU voting.,entailment
